Timestamp,Build order name?,URL?,Building/unit 1,Building/unit 2,Building/unit 3,Building/unit 4,Building/unit 5,Building/unit 6,Building/unit 7,Building/unit 8,Building/unit 9,Building/unit 10,Building/unit 11,Building/unit 12,Building/unit 13,Building/unit 14,Building/unit 15,Building/unit 16,Building/unit 17,Building/unit 18,Building/unit 19,Building/unit 20,
2/10/2012 14:45:11,3 gate sentry expand,http://wiki.teamliquid.net/starcraft2/3-Gate_Sentry_Expand#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Zealot,Warpgate Research,Sentry,Pylon,Gateway,Gateway,Pylon,Nexus,,,,,,,
2/10/2012 14:48:22,Blink Stalker Push,http://wiki.teamliquid.net/starcraft2/Blink_Stalker_Push#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Pylon,Warpgate Research,Stalker,Stalker,Gateway,Gateway,Pylon,Twilight Council,Gateway,Blink,Stalker,Stalker,Stalker,Pylon,
2/10/2012 14:50:27,Dark Templar expand,http://wiki.teamliquid.net/starcraft2/Dark_Templar_Expand#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Assimilator,Cybernetics Core,Zealot,Pylon,Warpgate Research,Sentry,Sentry,Twilight Council,Gateway,Gateway,Dark Shrine,Pylon,Sentry,Nexus,Dark Templar,Dark Templar,
2/10/2012 14:52:50,3 Gate Sentry into 5 Gate Zealot all-in   ,http://wiki.teamliquid.net/starcraft2/3_Gate_Sentry_into_5_Gate_Zealot_all-in#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Assimilator,Cybernetics Core,Zealot,Pylon,Warpgate Research,Sentry,Gateway,Gateway,Gateway,Gateway,Sentry,Pylon,Pylon,,,,
2/10/2012 14:55:52,Gate Nexus YufFE Build A,http://wiki.teamliquid.net/starcraft2/Gate_Nexus_YufFE#Build_Order,Pylon,Warpgate Research,Pylon,Zealot,Nexus,Forge,Pylon,Assimilator,Zealot,Photon Cannon,Cybernetics Core,,,,,,,,,,
2/10/2012 14:56:51,Gate Nexus YufFE Build B (core first),http://wiki.teamliquid.net/starcraft2/Gate_Nexus_YufFE#Build_Order,Pylon,Warpgate Research,Pylon,Nexus,Zealot,Pylon,Assimilator,Zealot,Cybernetics Core,Zealot,Forge,Stalker,Warpgate Research,,,,,,,,
2/10/2012 15:01:51,Noumena's Dual Warp Prism Harass (vs. Zerg),http://wiki.teamliquid.net/starcraft2/Noumena%27s_Dual_Warp_Prism_Harass#Basic_Build_Order,Pylon,Forge,Nexus,Pylon,Assimilator,Photon Cannon,Gateway,Gateway,Zealot,Cybernetics Core,Zealot,Zealot,Zealot,Warpgate Research,Robotics Facility,Assimilator,Gateway,Gateway,Twilight Council,,
2/10/2012 15:03:54,PvZ 2 Gate FE 10-16   ,http://wiki.teamliquid.net/starcraft2/PvZ_2_Gate_FE_10-16#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Stalker,Pylon,Sentry,Assimilator,Gateway,Sentry,Pylon,Nexus,Forge,Sentry,Sentry,Photon Cannon,Photon Cannon,
2/10/2012 15:43:43,1 Gate Core   ,http://wiki.teamliquid.net/starcraft2/1_Gate_Core#Basic_Build_Order,Pylon,Gateway,Nexus,Assimilator,Pylon,Cybernetics Core,Zealot,,,,,,,,,,,,,,
2/10/2012 15:44:36,1 Gate FE (vs. Terran)   ,http://wiki.teamliquid.net/starcraft2/1_Gate_FE_%28vs._Terran%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Stalker,Pylon,Stalker,Nexus,Gateway,Robotics Facility,Pylon,,,,,,,
2/10/2012 15:46:00,1 Gate Robo Observer,http://wiki.teamliquid.net/starcraft2/1_Gate_Robo#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Robotics Facility,Warpgate Research,Stalker,Pylon,Observer,Pylon,Nexus,Gateway,Gateway,,,,,,
2/10/2012 15:47:57,1 gate Stargate (vs zerg),http://wiki.teamliquid.net/starcraft2/1_Gate_Stargate_%28vs._Zerg%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Zealot,Cybernetics Core,Assimilator,Zealot,Pylon,Warpgate Research,Sentry,Stargate,,,,,,,,,
2/10/2012 15:49:17,"1 Gate in Base, 2 Gate Proxy (Vs. Protoss)   ","http://wiki.teamliquid.net/starcraft2/1_Gate_in_Base,_2_Gate_Proxy_%28Vs._Protoss%29#Basic_Build_Order",Pylon,Gateway,Pylon,Gateway,Gateway,Zealot,Pylon,Zealot,Zealot,Zealot,,,,,,,,,,,
2/10/2012 15:49:57,1-Gate Expand (vs. Terran)   ,http://wiki.teamliquid.net/starcraft2/1-Gate_Expand_%28vs._Terran%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Nexus,Warpgate Research,Stalker,Gateway,Gateway,Pylon,Assimilator,,,,,,,,
2/10/2012 15:50:23,10 Gate Tech   ,http://wiki.teamliquid.net/starcraft2/10_Gate_Tech#Basic_Build_Order,Pylon,Gateway,Assimilator,Colossus,Assimilator,Pylon,Warpgate Research,,,,,,,,,,,,,,
2/10/2012 15:50:53,10 Pylon 10 Gateway Fast Stalker   ,http://wiki.teamliquid.net/starcraft2/10_Pylon_10_Gateway_Fast_Stalker#Build_Order,Pylon,Gateway,Assimilator,Cybernetics Core,Pylon,Stalker,,,,,,,,,,,,,,,
2/10/2012 15:51:49,10 Pylon 10 Gateway Zealot Pressure   ,http://wiki.teamliquid.net/starcraft2/10_Pylon_10_Gateway_Zealot_Pressure#Build_Order,Pylon,Gateway,Pylon,Zealot,Pylon,Zealot,Zealot,,,,,,,,,,,,,,
2/10/2012 15:53:21,2 Gate Robo   ,http://wiki.teamliquid.net/starcraft2/2_Gate_Robo#Basic_Build_Order,Pylon,Gateway,Assimilator,Cybernetics Core,Pylon,Assimilator,Warpgate Research,Robotics Facility,Zealot,Sentry,Pylon,Gateway,Immortal,,,,,,,,
2/10/2012 15:53:51,2 Gate Rush (vs. Zerg)   ,http://wiki.teamliquid.net/starcraft2/2_Gate_Rush_%28vs._Zerg%29#Basic_Build_Order,Pylon,Gateway,Gateway,Pylon,Zealot,Zealot,Zealot,Pylon,Zealot,Zealot,Zealot,,,,,,,,,,
2/10/2012 15:55:01,ProtossIcon.png10/10 2 Gate (vs. Protoss),http://wiki.teamliquid.net/starcraft2/2_Gate_Zealot_Rush,Pylon,Gateway,Gateway,Zealot,Zealot,Pylon,,,,,,,,,,,,,,,
2/10/2012 15:58:08,3 Gate Robo   ,http://wiki.teamliquid.net/starcraft2/3_Gate_Robo#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Pylon,Stalker,Warpgate Research,Assimilator,Gateway,Sentry,Pylon,Gateway,Robotics Facility,,,,,,
2/10/2012 15:59:59,3 Gate Robo Timing Attack (vs. Zerg)   ,http://wiki.teamliquid.net/starcraft2/3_Gate_Robo_Timing_Attack_%28vs._Zerg%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Zealot,Cybernetics Core,Zealot,Sentry,Warpgate Research,Zealot,Pylon,Assimilator,Robotics Facility,Gateway,Observer,Pylon,Immortal,Gateway,,,
2/10/2012 16:00:47,3 Gate Robo into Double Forge   ,http://wiki.teamliquid.net/starcraft2/3_Gate_Robo_into_Double_Forge#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Warpgate Research,Stalker,Assimilator,Robotics Facility,Gateway,Gateway,Observer,Nexus,Forge,Forge,,,,,,
2/10/2012 16:02:02,3-Gate Dark Templar (PvT)   ,http://wiki.teamliquid.net/starcraft2/3-Gate_Dark_Templar_%28PvT%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Zealot,Cybernetics Core,Assimilator,Warpgate Research,Sentry,Pylon,Twilight Council,Gateway,Gateway,Stalker,Dark Shrine,Pylon,Stalker,Pylon,Dark Templar,Dark Templar,
2/10/2012 16:04:14,4 Gate Push (vs. Zerg)   ,http://wiki.teamliquid.net/starcraft2/4_Gate_Push_%28vs._Zerg%29#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Stalker,Gateway,Gateway,Gateway,Stalker,Pylon,Pylon,,,,,,,,
2/10/2012 16:06:54,Bischu Anti-4Gate (vs. Protoss)   ,http://wiki.teamliquid.net/starcraft2/Bischu_Anti-4Gate_%28vs._Protoss%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Robotics Facility,Gateway,Warpgate Research,Zealot,Immortal,Zealot,Pylon,,,,,,,,
2/10/2012 16:07:56,Forge Fast Expansion (Nexus First)   ,http://wiki.teamliquid.net/starcraft2/Forge_Fast_Expansion_%28vs._Zerg%29,Pylon,Nexus,Forge,Gateway,Photon Cannon,Pylon,,,,,,,,,,,,,,,
2/10/2012 16:08:39,Forge Fast Expansion (vs. Zerg)   ,http://wiki.teamliquid.net/starcraft2/Forge_Fast_Expansion_%28vs._Zerg%29,Pylon,Forge,Nexus,Photon Cannon,Gateway,Pylon,Zealot,,,,,,,,,,,,,,
2/10/2012 16:10:37,Gateway Forge Expand (vs. Zerg)   ,http://wiki.teamliquid.net/starcraft2/Gateway_Forge_Expand_%28vs._Zerg%29,Pylon,Gateway,Assimilator,Forge,Pylon,Zealot,Zealot,Cybernetics Core,Pylon,Zealot,Warpgate Research,Robotics Facility,Zealot,Pylon,Assimilator,Gateway,Pylon,Photon Cannon,Immortal,Nexus,
2/10/2012 16:11:31,Immortal Rush (vs. Zerg)   ,http://wiki.teamliquid.net/starcraft2/Immortal_Rush_%28vs._Zerg%29#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Robotics Facility,Zealot,Immortal,,,,,,,,,,,,
2/10/2012 16:11:58,1 Gate Core,http://wiki.teamliquid.net/starcraft2/1_Gate_Core,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,,,,,,,,,,,,,,,,
2/10/2012 16:13:44,1 Gate FE vs Terran,http://wiki.teamliquid.net/starcraft2/1_Gate_FE_%28vs._Terran%29,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Stalker,Pylon,Stalker,Nexus,Gateway,Robotics Facility,Pylon,,,,,,,,
2/10/2012 16:19:01,MC's 2-Gate Expand (vs. Zerg)   ,http://wiki.teamliquid.net/starcraft2/MC%27s_2-Gate_Expand_%28vs._Zerg%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Stalker,Gateway,Pylon,Warpgate Research,Sentry,Sentry,Pylon,Sentry,Sentry,Pylon,Nexus,,,,
2/10/2012 16:20:07,1 Gate FE into 3 Gate Robo,http://wiki.teamliquid.net/starcraft2/1_Gate_FE_into_3_Gate_Robo,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Pylon,Stalker,Stalker,Nexus,Assimilator,Robotics Facility,Gateway,Gateway,,,,,,,
2/10/2012 16:21:54,1 Gate Robo,http://wiki.teamliquid.net/starcraft2/1_Gate_Robo,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Robotics Facility,Stalker,Pylon,Immortal,Observer,Pylon,,,,,,,,,
2/10/2012 16:23:19,1 Gate Stargate vs Zerg,http://wiki.teamliquid.net/starcraft2/1_Gate_Stargate_%28vs._Zerg%29,Pylon,Gateway,Assimilator,Pylon,Zealot,Cybernetics Core,Assimilator,Zealot,Pylon,Sentry,Stargate,Void Ray,Void Ray,,,,,,,,
2/10/2012 16:25:02,"1 Gate in base, 2 gate proxy vs Protoss","http://wiki.teamliquid.net/starcraft2/1_Gate_in_Base,_2_Gate_Proxy_%28Vs._Protoss%29",Pylon,Gateway,Pylon,Assimilator,Zealot,Gateway,Gateway,Zealot,Zealot,Zealot,Zealot,,,,,,,,,,
2/10/2012 16:27:16,1 Gate FE vs Terran - Greedy variation,http://wiki.teamliquid.net/starcraft2/1-Gate_Expand_%28vs._Terran%29,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Nexus,Stalker,Gateway,Gateway,Pylon,,,,,,,,,,,
2/10/2012 16:29:27,Mothership Rush All In   ,http://wiki.teamliquid.net/starcraft2/Mothership_Rush_All_In#Basic_Build_Order,Pylon,Pylon,Assimilator,Pylon,Gateway,Cybernetics Core,Stargate,Pylon,Gateway,Fleet Beacon,Mothership,,,,,,,,,,
2/10/2012 16:29:37,2 Gate Robo PvP,http://wiki.teamliquid.net/starcraft2/2_Gate_Robo,Pylon,Gateway,Assimilator,Cybernetics Core,Pylon,Stalker,Assimilator,Robotics Facility,Zealot,Sentry,Pylon,Gateway,Immortal,,,,,,,,
2/10/2012 16:31:16,2 Gate Rush vs Zerg,http://wiki.teamliquid.net/starcraft2/2_Gate_Rush_%28vs._Zerg%29,Pylon,Gateway,Gateway,Pylon,Zealot,Zealot,Zealot,Pylon,Zealot,Zealot,,,,,,,,,,,
2/10/2012 16:32:14,Naniwa's Blink Observer Build (vs. Protoss)   ,http://wiki.teamliquid.net/starcraft2/Naniwa%27s_Blink_Observer_Build_%28vs._Protoss%29,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Assimilator,Stalker,Warpgate Research,Pylon,Stalker,Gateway,Gateway,Sentry,Twilight Council,Pylon,Robotics Facility,,,,
2/10/2012 16:32:59,2 Gate Zealot Rush v Protoss,http://wiki.teamliquid.net/starcraft2/2_Gate_Zealot_Rush,Pylon,Gateway,Gateway,Zealot,Zealot,Zealot,Pylon,,,,,,,,,,,,,,
2/10/2012 16:33:53,One Base Colossus (vs. Terran)   ,http://wiki.teamliquid.net/starcraft2/One_Base_Colossus_%28vs._Terran%29#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Robotics Facility,Stalker,Warpgate Research,Pylon,Robotics Facility,Observer,,,,,,,,,
2/10/2012 16:35:02,One Base Colossus (vs. Terran)   ,http://wiki.teamliquid.net/starcraft2/One_Base_Colossus_%28vs._Terran%29#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Robotics Facility,Stalker,Warpgate Research,Pylon,Robotics Facility,Observer,,,,,,,,,
2/10/2012 16:35:24,3 Gate Robo,http://wiki.teamliquid.net/starcraft2/3_Gate_Robo,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Pylon,Stalker,Assimilator,Gateway,Sentry,Pylon,Gateway,Robotics Facility,,,,,,,
2/10/2012 16:36:10,Photon Cannon rush   ,http://wiki.teamliquid.net/starcraft2/Photon_Cannon_rush#Build_Order,Pylon,Forge,Pylon,Photon Cannon,Photon Cannon,,,,,,,,,,,,,,,,
2/10/2012 16:39:20,3 Gate Robo Into Double Forge,http://wiki.teamliquid.net/starcraft2/3_Gate_Robo_into_Double_Forge,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Stalker,Assimilator,Robotics Facility,Gateway,Gateway,Observer,Nexus,Forge,Forge,,,,,,,
2/10/2012 16:40:22,Safe 3 Gate Opening into robo (Vs. Protoss)   ,http://wiki.teamliquid.net/starcraft2/Safe_3_Gate_Opening_%28Vs._Protoss%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Stalker,Gateway,Assimilator,Pylon,Sentry,Gateway,Stalker,Stalker,Pylon,Robotics Facility,Stalker,Stalker,Stalker,
2/10/2012 16:41:22,Stalker Void Ray Build (vs. Terran)   ,http://wiki.teamliquid.net/starcraft2/Stalker_Void_Ray_Build_%28vs._Terran%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Gateway,Cybernetics Core,Pylon,Stalker,Stalker,Pylon,Assimilator,Stalker,Stalker,Stargate,Void Ray,,,,,,,
2/10/2012 16:42:11,3 Gate Sentry into 5 gate Zealot all in,http://wiki.teamliquid.net/starcraft2/3_Gate_Sentry_into_5_Gate_Zealot_all-in,Pylon,Gateway,Assimilator,Pylon,Assimilator,Cybernetics Core,Zealot,Pylon,Warpgate Research,Sentry,Gateway,Gateway,Gateway,Gateway,Sentry,Pylon,Pylon,,,,
2/10/2012 16:43:17,Stargate After Cybernetics Core   ,http://wiki.teamliquid.net/starcraft2/Stargate_After_Cybernetics_Core#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Stalker,Stargate,Pylon,Warpgate Research,Stalker,Void Ray,Void Ray,Pylon,Gateway,Gateway,,,,,
2/10/2012 16:44:28,3 stalker robo vs P,http://wiki.teamliquid.net/starcraft2/3_Stalker_Robo_%28vs._Protoss%29,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Gateway,Stalker,Warpgate Research,Stalker,Assimilator,Stalker,Pylon,Robotics Facility,Gateway,,,,,,,
2/10/2012 16:46:16,3 gate DT,http://wiki.teamliquid.net/starcraft2/3-Gate_Dark_Templar_%28PvT%29,Pylon,Gateway,Assimilator,Pylon,Zealot,Cybernetics Core,Assimilator,Warpgate Research,Stalker,Pylon,Twilight Council,Gateway,Gateway,Stalker,Dark Shrine,Pylon,Stalker,Stalker,Pylon,Dark Templar,
2/10/2012 16:47:33,3 Gate sentry expand,http://wiki.teamliquid.net/starcraft2/3-Gate_Sentry_Expand,Pylon,Cybernetics Core,Assimilator,Zealot,Sentry,Warpgate Research,Pylon,Gateway,Gateway,Pylon,Nexus,,,,,,,,,,
2/10/2012 16:49:52,4 Gate,http://wiki.teamliquid.net/starcraft2/4_Gate_Push_%28vs._Zerg%29,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Stalker,Gateway,Gateway,Gateway,Stalker,Pylon,Pylon,,,,,,,
2/10/2012 16:51:58,Adel's Late Gas PvP,http://wiki.teamliquid.net/starcraft2/Adel%27s_Late_Gas_PvP,Pylon,Gateway,Pylon,Gateway,Zealot,Assimilator,Pylon,Zealot,Cybernetics Core,Zealot,Zealot,Pylon,Stalker,Stalker,Warpgate Research,,,,,,
2/10/2012 16:54:27,Bischu Anti 4gate - Tal'Darim Altar,http://wiki.teamliquid.net/starcraft2/Bischu_Anti-4Gate_%28vs._Protoss%29,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Robotics Facility,Gateway,Warpgate Research,Zealot,Immortal,Zealot,,,,,,,,,
2/10/2012 16:57:55,"""Fast Expansion"" ",http://wiki.teamliquid.net/starcraft2/User:-_-/Sandbox1#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Stalker,Pylon,Stalker,Nexus,Gateway,Gateway,Robotics Facility,,,,,,,
2/10/2012 16:59:10,Blink Stalker Push vs Z,http://wiki.teamliquid.net/starcraft2/Blink_Stalker_Push,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Pylon,Stalker,Stalker,Warpgate Research,Gateway,Gateway,Pylon,Twilight Council,Gateway,Blink,Stalker,Pylon,,,
2/10/2012 17:01:08,DT Expand vs Z,http://wiki.teamliquid.net/starcraft2/Dark_Templar_Expand,Pylon,Gateway,Assimilator,Pylon,Assimilator,Cybernetics Core,Zealot,Pylon,Sentry,Warpgate Research,Sentry,Twilight Council,Gateway,Gateway,Dark Shrine,Pylon,Pylon,Sentry,Nexus,,
2/10/2012 17:03:38,Phoenix Play,http://wiki.teamliquid.net/starcraft2/User:-_-/Sandbox2#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Pylon,Stalker,Stalker,Stargate,Sentry,Pylon,Gateway,Phoenix,Robotics Facility,,,,,
2/10/2012 17:04:39,5 Zealot 8 Stalker Rush (Vs. Protoss),http://wiki.teamliquid.net/starcraft2/User:57_corvette/5Z8S_Rush#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Gateway,Warpgate Research,Gateway,Zealot,Pylon,Zealot,Pylon,Stalker,Assimilator,Stalker,Zealot,Stalker,Pylon,Stalker,
2/10/2012 17:05:57,ProtossIcon.pngNony's Phoenix Build,http://wiki.teamliquid.net/starcraft2/User:Blahman3344/Nony%27s_Phoenix_Build_PvP#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Zealot,Warpgate Research,Sentry,Pylon,Zealot,Stalker,Pylon,Gateway,Phoenix,Phoenix,,,,,
2/10/2012 17:11:41,DT rush vs zerg,http://wiki.teamliquid.net/starcraft2/Dark_Templar_Rush,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Twilight Council,Pylon,Gateway,Dark Shrine,Gateway,Warpgate Research,,,,,,,,,
2/10/2012 17:13:42,Defensive 3 gate vs P,http://wiki.teamliquid.net/starcraft2/Defensive_3_Gate_%28vs._Protoss%29,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Stalker,Gateway,Assimilator,Pylon,Sentry,Gateway,Stalker,Stalker,Pylon,,,,,
2/10/2012 17:15:34,Forge FE,http://wiki.teamliquid.net/starcraft2/Forge_Fast_Expansion_%28vs._Zerg%29,Pylon,Forge,Nexus,Photon Cannon,Gateway,Zealot,,,,,,,,,,,,,,,
2/10/2012 17:16:21,Forge FE - Nexus first,http://wiki.teamliquid.net/starcraft2/Forge_Fast_Expansion_%28vs._Zerg%29,Pylon,Nexus,Forge,Gateway,Photon Cannon,Pylon,,,,,,,,,,,,,,,
2/10/2012 17:20:12,Gate Nexus PvZ,http://wiki.teamliquid.net/starcraft2/Gate_Nexus_YufFE,Pylon,Gateway,Pylon,Zealot,Nexus,Forge,Pylon,,,,,,,,,,,,,,
2/10/2012 17:22:00,Gate then Forge PvZ Expand,http://wiki.teamliquid.net/starcraft2/Gateway_Forge_Expand_%28vs._Zerg%29,Pylon,Gateway,Assimilator,Forge,Zealot,Zealot,Zealot,Cybernetics Core,Zealot,Warpgate Research,Robotics Facility,Zealot,Pylon,Assimilator,Gateway,Photon Cannon,Immortal,Nexus,,,
